,Id,Name,Topic-Code,Questions count,Topic
148,335,Poisson's Ratio,684,51,Mechanical Properties of Solids
149,341,Bernoulli's Theorem,685,200,Mechanical Properties of Fluids
150,360,Cyclic Process,687,108,Thermodynamics
151,369,Specific Heat ,688,100,Kinetic Theory of Gases
152,381,Energy of Waves,690,62,Waves
153,397,Electrostatic Shielding,692,35,Electrostatic Potential and Capacitance
154,408,EMF & Terminal Voltage,693,145,Current Electricity
155,419,Force between Current Carrying Wires,694,109,Moving Charges and Magnetism
156,429,Magnetic Materials ,695,168,Magnetism and Matter
157,436,LR circuit,696,124,Electromagnetic Induction
158,443,Transformer,697,141,Alternating Current
159,456,Lens Makers' Formula,699,107,Ray Optics and Optical Instruments
160,466,Resolving Power of Optical Devices (OLD NCERT),700,77,Wave Optics
161,473,Davisson & Germer Experiment (OLD NCERT),701,24,Dual Nature of Radiation and Matter
162,481,Nuclear Energy,703,125,Nuclei
163,487,Transistor (OLD NCERT),704,217,Semiconductor Electronics
164,1046,Convection,686,40,Thermal Properties of Matter
165,1129,Electromagnetic Spectrum,698,144,Electromagnetic Waves
166,2847,Spring mass system,689,138,Oscillations
167,2945,Rotational Motion: Dynamics,681,47,Systems of Particles and Rotational Motion
168,276,Integration,676,65,Mathematical Tools
169,286,Graphs,677,248,Motion in A Straight Line
170,296,Relative Motion,678,207,Motion in A Plane
171,305,Spring Force,679,77,Laws of Motion
172,311,Potential Energy: Relation with Force,680,108,"Work, Energy and Power"
173,321,Rolling Motion (OLD NCERT),681,404,Systems of Particles and Rotational Motion
174,330,Satellite,682,200,Gravitation
175,342,Viscosity,685,125,Mechanical Properties of Fluids
176,351,Radiation,686,129,Thermal Properties of Matter
177,362,Heat Engine & Refrigerator (OLD NCERT),687,157,Thermodynamics
178,368,Mean Free Path,688,45,Kinetic Theory of Gases
179,375,Combination of Springs,689,116,Oscillations
180,386,Standing Waves,690,481,Waves
181,398,Capacitance,692,278,Electrostatic Potential and Capacitance
182,409,Grouping  of Cells,693,109,Current Electricity
183,421,Magnetic Moment,694,130,Moving Charges and Magnetism
184,430,Curie's Law and Hysteresis (OLD NCERT),695,61,Magnetism and Matter
185,437,Eddy Current,696,31,Electromagnetic Induction
186,444,AC Generator,697,8,Alternating Current
187,455,Lenses,699,467,Ray Optics and Optical Instruments
188,467,Polarization of Light,700,137,Wave Optics
189,488,Applications of Transistor (OLD NCERT),704,162,Semiconductor Electronics
190,2716,Potential energy of wire,684,80,Mechanical Properties of Solids
191,274,Geometry,676,12,Mathematical Tools
192,289,Relative Motion in One Dimension,677,119,Motion in A Straight Line
193,303,Uniform Circular Motion,679,260,Laws of Motion
194,316,Linear Momentum,681,75,Systems of Particles and Rotational Motion
195,331,Elasticity,684,139,Mechanical Properties of Solids
196,343,Stokes' Law,685,65,Mechanical Properties of Fluids
197,353,Wien's Displacement Law,686,85,Thermal Properties of Matter
198,361,Second Law of Thermodynamics,687,34,Thermodynamics
199,372,Phasor Diagram,689,19,Oscillations
200,385,Beats,690,142,Waves
201,400,Combination of Capacitors,692,294,Electrostatic Potential and Capacitance
202,411,Kirchoff's Current Law,693,57,Current Electricity
203,420,Current Carrying Loop: Force & Torque,694,140,Moving Charges and Magnetism
204,454,Prisms,699,300,Ray Optics and Optical Instruments
205,489,Logic gates,704,337,Semiconductor Electronics
206,1040,Conservation of Mechanical Energy,680,76,"Work, Energy and Power"
207,277,Trigonometry,676,17,Mathematical Tools
208,304,Banking of Roads,679,44,Laws of Motion
209,314,Power,680,217,"Work, Energy and Power"
210,344,Surface Tension ,685,346,Mechanical Properties of Fluids
211,352,Stefan-Boltzmann Law,686,144,Thermal Properties of Matter
212,376,Damped Oscillations (OLD NCERT),689,74,Oscillations
213,384,Doppler's Effect (OLD NCERT),690,257,Waves
214,396,Dielectrics in Capacitors,692,166,Electrostatic Potential and Capacitance
215,410,Kirchoff's Voltage Law,693,257,Current Electricity
216,422,Moving Coil Galvanometer,694,133,Moving Charges and Magnetism
217,457,Human Eye,699,92,Ray Optics and Optical Instruments
218,2978,Carnot Engine,687,39,Thermodynamics
219,306,Non Uniform Vertical Circular Motion,679,60,Laws of Motion
220,345,Capillary Rise,685,158,Mechanical Properties of Fluids
221,354,Newton's Law of Cooling,686,114,Thermal Properties of Matter
222,377,Forced Oscillations (OLD NCERT),689,32,Oscillations
223,401,Energy stored in Capacitor,692,182,Electrostatic Potential and Capacitance
224,412,Wheatstone Bridge,693,96,Current Electricity
225,423,Conversion to Ammeter & Voltmeter,694,111,Moving Charges and Magnetism
226,458,Simple & Compound Microscope,699,110,Ray Optics and Optical Instruments
227,2582,Co-ordinate geometry,676,14,Mathematical Tools
228,2749,Collisions,680,485,"Work, Energy and Power"
229,302,Pseudo Force,679,46,Laws of Motion
230,413,Meter Bridge & Potentiometer,693,214,Current Electricity
231,459,Telescope,699,126,Ray Optics and Optical Instruments
232,307,Variable Mass System,679,10,Laws of Motion
233,2780,RC Circuit (OLD NCERT),693,99,Current Electricity
234,324,Gravitational Field,682,90,Gravitation
235,326,Gravitational Potential,682,68,Gravitation
236,445,DC Generator & Motor (OLD NCERT),697,5,Alternating Current
